Judet	Lat	Long
Alba	46.0	23.4667
Arad	46.2564	21.3818
Argeş	45.1474	24.9385
Bacău	46.6334	26.4015
Bihor	47.3763	22.4871
Bistriţa-Năsăud	47.4367	24.26
Botoşani	47.55	26.6
Brăila	44.9507	27.4326
Braşov	45.6592	25.3874
Bucureşti	44.4378	26.0174
Buzău	45.3	27.0333
Caraş-Severin	45.4759	22.0099
Cluj	46.9585	23.5334
Constanţa	44.65	28.2667
Covasna	45.8844	26.1159
Dâmboviţa	45.0304	25.3962
Dolj	44.2838	23.1877
Galaţi	45.8022	28.0859
Gorj	44.8554	23.5703
Harghita	46.5149	25.4551
Hunedoara	46.071000000000005	22.5632
Ialomiţa	44.6089	27.1774
Iaşi	47.0824	27.469
Maramureş	47.5465	23.6114
Mehedinţi	44.6233	23.0643
Mureş	46.5939	24.1565
Neamţ	46.8333	26.5765
Olt	44.7167	24.35
Prahova	45.1425	25.9459
Sălaj	46.9871	23.25
Satu Mare	47.6938	23.0364
Sibiu	45.9	24.35
Suceava	47.8101	26.3192
Teleorman	43.9922	25.4494
Timiş	45.4986	21.3
Tulcea	45.0216	28.9428
Vaslui	46.2633	27.7012
Vâlcea	44.7677	23.848000000000003
Vrancea	45.6386	27.4572
Călăraşi	44.3486	27.0736
Giurgiu	43.8152	25.8186
Ilfov	44.5	26.1333
