Lat,Long
47.0824,27.469
46.2564,21.3818
45.1474,24.9385
46.6334,26.4015
47.3763,22.4871
47.4367,24.26
47.55,26.6
44.9507,27.4326
45.6592,25.3874
44.4378,26.0174
45.3,27.0333
45.4759,22.0099
46.9585,23.5334
44.65,28.2667
45.8844,26.1159
45.0304,25.3962
44.2838,23.1877
45.8022,28.0859
44.8554,23.5703
46.5149,25.4551
46.071000000000005,22.5632
44.6089,27.1774
46.0,23.4667
47.5465,23.6114
44.6233,23.0643
46.5939,24.1565
46.8333,26.5765
44.7167,24.35
45.1425,25.9459
46.9871,23.25
47.6938,23.0364
45.9,24.35
47.8101,26.3192
43.9922,25.4494
45.4986,21.3
45.0216,28.9428
46.2633,27.7012
44.7677,23.848000000000003
45.6386,27.4572
44.3486,27.0736
43.8152,25.8186
44.5,26.1333
